lon;lat;station_id;station_name;elev;address
-121.537063545552;37.0150322668653;211;Gilroy;185;Santa Clara, Gilroy
-121.740983115638;38.277971796977;212;Hastings Tract East;7;Solano, Dixon
-122.302638131;37.9314884443522;213;El Cerrito;596;Contra Costa, El Cerrito
-121.537885075741;36.6256305478608;214;Salinas South II;153;Monterey, Salinas
-118.570064853638;34.2913428879117;215;Chatsworth;1536;Los Angeles, Chadsworth
-118.382935662259;34.2561628962463;216;Arleta;980;Los Angeles, Arleta
-118.849298070621;34.2689899217599;217;Moorpark;718;Ventura, Moorpark
-116.158778432052;33.5957419418235;218;Thermal South;-150;Riverside, Thermal
-118.644843252828;34.2141742840767;219;West Hills;926;Los Angeles, West Hills
-118.127455525069;34.5923049161892;220;Palmdale Central;2630;Los Angeles, Palmdale
-115.510588777897;34.5137123180297;221;Cadiz Valley;155;San Bernardino, Chambless
-122.155761772776;40.0287589690327;222;Gerber South;246;Tehama, Gerber
-122.309986919138;40.6301628102227;224;Shasta College;592;Shasta, Redding
-122.838125;41.577778;225;Scott Valley;2733;Siskiyou, Fort Jones
-121.811714767655;38.6727066811059;226;Woodland;82;Yolo, Woodland
-120.800060102414;38.5083125279875;227;Plymouth;1520;Amador, Plymouth
-120.792991136121;38.6361620890633;228;Diamond Springs;2050;El Dorado, Diamond Springs
-121.786535318328;36.5701078483165;229;Laguna Seca;320;Monterey, Monterey
-119.714996075741;34.405508513078;230;Santa Barbara II;440;Santa Barbara, Santa Barbara
-120.513252288672;34.6722564254705;231;Lompoc;55;Santa Barbara, Lompoc
-120.464797005121;34.9134955983701;232;Santa Maria II;215;Santa Barbara, Santa Maria
-116.213556264138;34.1381459173142;233;Joshua Tree;2483;San Bernardino, Joshua Tree
-116.809854574138;34.8834033250701;234;Newberry Springs II;1930;San Bernardino, Newberry Springs
-121.61136;38.797944;235;Verona;24;Sutter, Nicolaus
-121.996067433966;41.8025774112756;236;Macdoel II;4265;Siskiyou, Macdoel
-117.039990843397;33.5500098114764;237;Temecula East III;1530;Riverside, Temecula
-117.171425813965;33.8998783984232;238;Moreno Valley;1604;Riverside, Moreno Valley
-116.955092222103;33.6648101453925;239;Hemet;1768;Riverside, Hemet
-117.198864581173;33.7605568018182;240;Perris - Menifee;1421;Riverside, Perris
-117.586222187328;33.4623526788536;241;San Clemente;224;Orange, San Clemente
-121.510331636655;38.1923743823271;242;Staten Island;-10;San Joaquin, Walnut Grove
-121.555483525069;38.2496107000557;243;Ryde;-10;Sacramento, Walnut Grove
-121.835278;39.386632;244;Biggs;72;Butte, Biggs
-117.585113181138;33.6218347457215;245;Coto de Caza;846;Orange, Coto de Caza
-119.791914302965;38.773383504458;246;Markleeville;5517;Alpine, Markleeville
-121.701247;38.033386;247;Jersey Island;-12;Contra Costa, Oakley
-121.397538725845;37.932179300907;248;Holt;-3;San Joaquin, Stockton
-121.265954170897;37.7555587341454;249;Ripon;20;San Joaquin, Manteca
-122.168889;39.210667;250;Williams;69;Colusa, Williams
-117.185626747172;34.1120831547549;251;Highland;1275;San Bernardino, Highland
-121.344388;36.456728;252;Soledad II;214;Monterey, Soledad
