code|lat|lon|name|spider
58|48.3645525376|-120.12104321|Twisp-Glover St|washington
17|46.9938311782|-120.544961585|Ellensburg-Ruby St|washington
16|48.2468121065|-121.603072342|Darrington-Fir St|washington
32|48.4101723261|-122.337538561|Mt Vernon-S Second St|washington
31|46.7839591575|-121.743671252|Mt Rainier-Jackson Visitors Ctr|washington
30|47.1303716293|-119.2737|Moses Lake-Balsam St|washington
37|46.7245599535|-117.18067212|Pullman-Dexter SE|washington
36|48.12919|-122.77897|Port Townsend-San Juan Ave|washington
53|47.186328372|-122.451559919|Tacoma- L Street|washington
77|47.490238327|-121.772783559|North Bend-North Bend Way|washington
184|48.855274|-122.7047|Ferndale-Kickerville Road|washington
54|47.2655932415|-122.384977236|Tacoma-Alexander Ave|washington
64|46.0587892668|-118.351548253|Walla Walla-12th St|washington
13|46.4255876257|-117.059735033|Clarkston-13th St|washington
57|46.3803185225|-120.332765286|Toppenish-Yakama Tribe|washington
28|36.8911213883|-81.25423|Rural Retreat|virginia
10|38.0765035465|-78.5039362325|Albemarle High School|virginia
17|39.280962952|-78.0815548046|Frederick Co. Public School Maint. Dept.|virginia
25|37.6266545931|-79.5125733768|Natural Bridge Station|virginia
26|38.47753|-78.81952|Harrisonburg VDOT|virginia
24|37.2833985063|-79.8845149349|Herman L. Horn Elementary School|virginia
13|37.3443612083|-77.2592297395|Charles City County|virginia
14|37.3574732898|-77.5935010371|Beach Road VDOT|virginia
18|37.6061420382|-77.2188016884|Hanover|virginia
19|37.5564785076|-77.4002615581|MSIC (MathScience Innovation Center)|virginia
37|37.5908291618|-77.4693276653|Bryan Park|virginia
30|37.1037343466|-76.3870524559|NASA Langley Research Center|virginia
31|36.8555608076|-76.3013212976|NOAA Storage Facility|virginia
34|36.9012002522|-76.437909474|Tidewater Community College|virginia
35|36.6652472914|-76.730752986|VA Tech Agricultural Research Center|virginia
11|38.8577223507|-77.059192986|Aurora Hills Visitor Center|virginia
12|38.2008925557|-77.37742|Fredericksburg Geomagnetic Observatory|virginia
15|38.7733276228|-77.1046648046|Lee District Park - Fairfax County|virginia
16|38.4736501727|-77.7677284419|Sumerduck - C. Phelps Wildlife Mgmt Area|virginia
20|39.0246945853|-77.4892179208|Ashburn - Broad Run High School|virginia
21|38.5228356648|-78.4349037675|Shenandoah National Park - Big Meadows|virginia
23|38.8528200361|-77.6346115581|Long Park - Haymarket|virginia
27|38.4812418951|-77.3703527255|Widewater Elem. School - Widewater|virginia
39|38.7684895383|-77.1834615581|Springfield Near Road Site|virginia
Appleton AAL|44.3074014972|-88.3950950068|Appleton AAL|wisconsin
Bad River (Tribal site)|46.6022580011|-90.6561429864|Bad River (Tribal site)|wisconsin
Bayside|43.1808069727|-87.9009104753|Bayside|wisconsin
Beloit - Converse|42.518369045|-89.0636202037|Beloit - Converse|wisconsin
Chiwaukee|42.504687311|-87.8092529463|Chiwaukee|wisconsin
Columbus|43.3155198568|-89.1088849796|Columbus|wisconsin
Devils Lake|43.4350818215|-89.6798301765|Devils Lake|wisconsin
Eau Claire DOT|44.7613946117|-91.4130350475|Eau Claire DOT|wisconsin
Fond du Lac|43.6874724101|-88.4220450611|Fond du Lac|wisconsin
Grafton|43.3432111908|-87.9209963512|Grafton|wisconsin
Green Bay East|44.5073078532|-87.9934900679|Green Bay East|wisconsin
Green Bay UW|44.5309815374|-87.9080088049|Green Bay UW|wisconsin
Harrington Beach|43.4982978165|-87.8102052784|Harrington Beach|wisconsin
Horicon Wildlife Area|43.4663544665|-88.6211560611|Horicon Wildlife Area|wisconsin
Jefferson - Laatsch|43.0034183077|-88.828204871|Jefferson - Laatsch|wisconsin
Kenosha - Water Tower|42.5956038787|-87.8857635251|Kenosha - Water Tower|wisconsin
Kewaunee|44.4431307237|-87.5051498778|Kewaunee|wisconsin
Kohler|43.7439608513|-87.7776167858|Kohler|wisconsin
La Crosse - DOT|43.7775506109|-91.2269100136|La Crosse - DOT|wisconsin
Lake Dubay|44.7073587767|-89.771842879|Lake Dubay|wisconsin
Lake Geneva|42.5805972372|-88.499290163|Lake Geneva|wisconsin
Madison East|43.1010127858|-89.3576605975|Madison East|wisconsin
Madison University|43.0737761964|-89.4359752377|Madison University|wisconsin
Manitowoc|44.1386764905|-87.6161400543|Manitowoc|wisconsin
Milwaukee College Ave Park and Ride|42.9307151346|-87.9320038642|Milwaukee College Ave Park and Ride|wisconsin
Milwaukee Fire Dept HQ|43.0399644121|-87.9207842827|Milwaukee Fire Dept HQ|wisconsin
Milwaukee SER DNR HQ|43.0609859743|-87.9135140136|Milwaukee SER DNR HQ|wisconsin
Milwaukee Sixteenth St.|43.0172483944|-87.9337405568|Milwaukee Sixteenth St.|wisconsin
Milwaukee College Ave Near Road|42.9326249862|-87.9343950747|Milwaukee College Ave Near Road|wisconsin
Newport Park|45.2371621802|-86.9939162426|Newport Park|wisconsin
Perkinstown|45.2066211653|-90.5971399185|Perkinstown|wisconsin
Potawatomi (Tribal site)|45.5649729895|-88.8085749796|Potawatomi (Tribal site)|wisconsin
Potosi|42.6930147199|-90.6981451969|Potosi|wisconsin
Racine|42.7147809056|-87.7984137365|Racine|wisconsin
Rhinelander|45.6450850025|-89.41848|Rhinelander|wisconsin
Sheboygan|43.8151997783|-87.7912896401|Sheboygan|wisconsin
Sheboygan Kohler-Andre|43.679|-87.716|Sheboygan Kohler-Andre|wisconsin
Trout Lake|46.0518332123|-89.6538511543|Trout Lake|wisconsin
Wauk-Cleveland|43.0201189367|-88.2150500679|Wauk-Cleveland|wisconsin
80010008|39.8283852654|-104.938268711|Adams County Admin Building (ADM)|colorado
80590002|39.8003357534|-105.099996163|Arvada (ARV)|colorado
80970007|39.1956849615|-106.836135827|Aspen (ASPN)|colorado
80590013|39.5415058979|-105.298358569|Aspen Park (ASP)|colorado
80970008|39.1929751699|-106.823239234|Aspen PM (ASPN2)|colorado
80050006|39.6385895337|-104.568974918|Aurora East (AURE)|colorado
80130014|40.0702995864|-105.220264256|Boulder Reservoir (BOUR)|colorado
80131001|40.0129781629|-105.267204859|Boulder-CU/Athens (BOU)|colorado
80310002|39.7511896933|-104.98764585|CAMP (CAMP)|colorado
80310014|39.7517796996|-105.030540125|Carriage (CRG)|colorado
80350004|39.5344881423|-105.070366459|Chatfield Park (CHAT)|colorado
80410017|38.8480085204|-104.828588744|Colorado College (CCOL)|colorado
80771001|39.1069178942|-108.74100134|Colorado National Monument (CO NM)|colorado
80830006|37.3501512|-108.587177897|Cortez Ozone (CTZ)|colorado
80290004|38.7392093208|-108.073081977|Delta (DELT)|colorado
80310025|39.703960702|-104.99798783|Denver Animal Shelter (DMAS)|colorado
80310016|39.7357328688|-104.95813449|DESCI (DES)|colorado
80810003|40.3292140077|-108.494275667|Elk Springs (ELK)|colorado
80691004|40.5774661772|-105.078750428|Fort Collins - CSU (FTC)|colorado
80690009|40.5712526966|-105.08000607|Fort Collins - CSU Facilities (FTCF)|colorado
80690012|40.583899729|-105.075273746|Fort Collins - DMA (DMA)|colorado
80690012|40.6421067041|-105.275106269|Fort Collins - Rist Canyon (FTCR)|colorado
80690011|40.5925190278|-105.141139945|Fort Collins - West (FTCW)|colorado
80770017|39.0637874321|-108.561278393|Grand Jct. Powell/PM2.5 (GJPB)|colorado
80770018|39.0642673939|-108.561650057|Grand Junction Shelter (GJCT)|colorado
81230006|40.4148277045|-104.706873581|Greeley - Hospital (GREH)|colorado
81230009|40.3863182421|-104.737406692|Greeley - Weld Co. Tower (GRET)|colorado
80050002|39.5679658777|-104.95722955|Highland (HLD)|colorado
80410015|38.8309069267|-104.839265636|Highway 24 (H24)|colorado
80310027|39.7321176892|-105.015321374|I-25 Denver (I25DEN)|colorado
80310028|39.7859129872|-104.988878383|I-25 Globeville (I25GLO)|colorado
80310026|39.7794887774|-105.005185373|La Casa (CASA)|colorado
80990003|38.1137892425|-102.62618656|Lamar Met - Port of Entry (LAM)|colorado
80130003|40.1645985744|-105.100791755|Longmont - Municipal (LNGM)|colorado
80410016|38.8530723127|-104.901390484|Manitou (MAN)|colorado
80310013|39.7385868349|-104.939961971|National Jewish Hospital (NJH)|colorado
80590011|39.7432067569|-105.179095029|NREL - South Table Mtn. (NREL)|colorado
80770020|39.1306798221|-108.313612409|Palisade Ozone & Met (PAL)|colorado
80850005|38.342466705|-108.945025232|Paradox (PDX)|colorado
80450012|39.541812217|-107.784051716|Rifle Ozone (RIFLO3)|colorado
80450007|39.5319191199|-107.78218296|Rifle PM (RIFL)|colorado
80590006|39.912816241|-105.188595775|Rocky Flats - North (RFN)|colorado
80410013|38.9583394427|-104.817227412|U.S. AF Academy (ACAD)|colorado
80013001|39.8382164216|-104.949851832|Welby (WBY)|colorado
80590005|39.6387848353|-105.139507669|Welch (WCH)|colorado
49|21.9494832709|-159.364962436|NIUMALU|hawaii
34|21.323757658|-158.08866521|KAPOLEI|hawaii
44|21.3933176455|-157.969994771|PEARL CITY|hawaii
46|21.3058679218|-157.873035283|SAND ISLAND|hawaii
37|21.3076269382|-157.855463849|HONOLULU|hawaii
60|20.8709533336|-156.4924643|KAHULUI|hawaii
45|20.7809942748|-156.446376908|KIHEI|hawaii
54|20.9019201489|-156.370487822|PAIA|hawaii
41|19.509663548|-155.913503613|KONA|hawaii
36|19.1175674165|-155.778221597|OCEAN VIEW|hawaii
38|19.2038306254|-155.480129403|PAHALA|hawaii
40|19.7175974551|-155.110543613|HILO|hawaii
48|19.5554126358|-155.101966113|MOUNTAIN VIEW|hawaii
42|-154.898668|-154.898668|PUNA E|hawaii
DIXIE|32.6798040389|-93.8601451969|Dixie site|louisiana
SHREVEPORT|32.5362672908|-93.7489513535|Shreveport Downtown Airport site|louisiana
MONROE|32.5097525801|-92.0460882261|Monroe Airport site|louisiana
CARVILLE|30.2038182619|-91.117277955|Carville site|louisiana
CONVENT|29.9948697194|-90.8171010685|St. James Parish Courthouse Convent site|louisiana
DUTCHTOWN|30.2293825445|-90.9654988153|Dutchtown site|louisiana
FRENCHSETTLEMENT|30.3151633156|-90.8112760655|French Settlement site|louisiana
BAYOUPLAQUEMINE|30.2210171495|-91.3152794046|Bayou Plaquemine site|louisiana
LSU|30.4198169162|-91.1820275221|Baton Rouge LSU site|louisiana
CAPITOL|30.4620452411|-91.1792281671|Baton Rouge Capitol site|louisiana
PORTALLEN|30.5008489435|-91.2136172379|Port Allen site|louisiana
SOUTHERN|30.525663472|-91.1861561245|Southern University site|louisiana
PRIDE|30.7008983903|-91.0560550131|Pride site|louisiana
NEWROADS|30.6817223817|-91.3662373972|New Roads site|louisiana
I610|29.9959712853|-90.1181956378|I-610 site New Orleans|louisiana
KENNER|30.0410099353|-90.2727806935|Kenner site|louisiana
THIBODAUX|29.7644250564|-90.7655597716|Thibodaux site|louisiana
CHALMETTEVISTA|29.9431083564|-89.9762492481|Chalmette Vista site|louisiana
GARYVILLE|30.0572770827|-90.6191744989|Garyville site|louisiana
CITYPARK|29.9933177269|-90.1014226017|New Orleans City Park site|louisiana
MERAUX|29.9396295655|-89.9238304033|Meraux site|louisiana
MADISONVILLE|30.4293392324|-90.1996794982|MadisonvilleNorthshore site|louisiana
LAFAYETTE|30.2258785702|-92.0427641658|Lafayette USGS site|louisiana
STMARTINVILLE|30.088037063|-91.8697652309|St. Martinville site|louisiana
CARLYSS|30.1400216494|-93.3682801676|Carlyss site|louisiana
VINTON|30.2276329477|-93.579751289|Vinton site|louisiana
WESTLAKE|30.2624216898|-93.2850756408|Westlake site|louisiana
LIGHTHOUSE|30.2199065818|-93.3092766736|Lake Charles Lighthouse Lane site|louisiana
250030006|42.4520186087|-73.2554039806|PITTSFIELD SOUTH ST|massachusetts
250130016|42.1090412086|-72.5912781415|SPRINGFIELD|massachusetts
250130008|42.1944741678|-72.5556415732|CHICOPEE|massachusetts
250154002|42.2985280551|-72.3345804293|WARE|massachusetts
250112005|42.6058329834|-72.5966537098|GREENFIELD|massachusetts
250270023|42.2639820486|-71.7948544234|WORCESTER SUMMER ST|massachusetts
250051004|41.6857451724|-71.1697707631|FALL RIVER|massachusetts
250230005|42.0651058088|-71.0127430097|BROCKTON|massachusetts
250213003|42.2118361914|-71.1145195732|BLUE HILL|massachusetts
250092006|42.4748622143|-70.971967435|LYNN|massachusetts
250094005|42.8145102197|-70.818491806|NEWBURYPORT|massachusetts
250250044|42.3251398385|-71.0560012781|VON HILLERN|massachusetts
250250042|42.3295110379|-71.0826570049|ROXBURY|massachusetts
250250002|42.3489550689|-71.0977066427|KENMORE|massachusetts
250095005|42.7708739746|-71.1028364293|HAVERHILL|massachusetts
SL|45.7804091657|-108.511545185|Billings|montana
BI|45.3661538434|-106.489822311|Birney|montana
BH|45.6837694478|-111.056334158|Bozeman|montana
BD|45.4403077149|-105.370262695|Broadus|montana
BN|46.0026077351|-112.501250593|Butte|montana
FV|48.3637153861|-114.189269016|Flathead Valley|montana
FT|47.0129126951|-114.224269835|Frenchtown|montana
OP|47.4943271583|-111.303333632|Great Falls|montana
PS|46.2436252054|-114.15886523|Hamilton|montana
RP|46.6587663046|-112.013102442|Helena|montana
LB|48.3916801562|-115.55226892|Libby|montana
ML|48.3175253305|-107.862253714|Malta:2309 Short Oil Road|montana
MS|46.8423027098|-114.020582393|Missoula|montana
SE|47.1756351845|-113.476170127|Seeley Lake|montana
OF|47.8034030102|-104.48558098|Sidney|montana
TF|47.5943945196|-115.323750607|Thompson Falls|montana
PE|44.6570190742|-111.08961098|West Yellowstone|montana
LT|47.0485156425|-109.455359287|Lewistown|montana
23-005-2003|43.5610434965|-70.207334153|Cape Elizabeth|maine
23-031-2002|43.3431687525|-70.4710525893|Kennebunkport|maine
23-009-0103|44.3771094997|-68.2609372121|McFarland Hill|maine
23-013-0004|43.9179625686|-69.2607600588|Port Clyde|maine
23-029-0019|44.5317180612|-67.5956093828|Jonesport|maine
23-029-0032|44.9636347288|-67.0607347369|Sipayik (Pleasant...|maine
23-009-0102|44.3517566623|-68.226898049|Cadillac|maine
23-017-0002|44.3778163131|-70.8547770817|Bethel|maine
23-001-0014|43.9746901813|-70.1246095136|Durham|maine
23-011-2005|44.2306356148|-69.7849861509|Gardiner|maine
23-031-0040|43.5889287147|-70.8771782754|Shapleigh Ball Park|maine
23-031-0038|43.6567184938|-70.6290511366|West Buxton|maine
23-019-4008|44.7361160535|-68.6709569921|Holden|maine
23-003-0014|47.3552706177|-68.3209298187|Madawaska|maine
23-003-1008|46.6985014253|-68.0389846975|Presque Isle|maine
23-007-2002|45.0802845698|-70.211892024|Carrabassett|maine
23-017-2011|44.5514366328|-70.5463143308|Rumford|maine
23-001-0011|44.0894137723|-70.214227098|Lewiston|maine
23-019-0010|44.8166078102|-68.8202066136|Bangor|maine
23-019-0002|44.7988624673|-68.7696630972|Bangor|maine
23-005-0029|43.6602640157|-70.2689929167|Portland Deering ...|maine
43|36.1063882241|-115.253327456|Paul Meyer|clark_country
71|36.169751|-115.263025|Walter Johnson|clark_country
73|36.1734250057|-115.332736313|Palo Verde|clark_country
75|36.2705901956|-115.238280544|Joe Neal|clark_country
298|36.0487057239|-115.052910006|Green Valley|clark_country
540|36.1419076131|-115.078758469|Jerome Mack|clark_country
561|36.163959|-115.113916|Sunrise Acres|clark_country
601|35.9781593068|-114.846324775|Boulder City|clark_country
1019|35.785671|-115.357081469|Jean|clark_country
1501|36.1397224314|-115.17566125|Rancho & Teddy|clark_country
1502|36.1743451877|-115.139738762|Casino Center|clark_country
2002|36.1912491956|-115.122963469|JD Smith|clark_country
8000|36.3578175627|-115.361370619|Las Vegas Paiute|clark_country
9992|36.2155956021|-115.195343563|NLV Airport|clark_country
38|40.853544649|-73.9661459841|Ft Lee Near Road|new_jersey
16|40.7316060206|-74.0663338431|Jersey City|new_jersey
17|40.7254193816|-74.0523333496|Jersey City FH|new_jersey
34|40.7210388218|-74.192883291|Newark Firehouse|new_jersey
2|40.6702634145|-74.1261206783|Bayonne|new_jersey
10|40.662347|-74.214867|Elizabeth|new_jersey
11|40.6414540634|-74.2083752912|Elizabeth Trailer|new_jersey
30|40.6033465142|-74.275038422|Rahway PM|new_jersey
25|40.46218|-74.4294346941|Rutgers University|new_jersey
12|40.515282059|-74.8066828999|Flemington|new_jersey
37|39.9345330071|-75.1262117597|Camden Spruce St|new_jersey
6|40.7876371557|-74.6763091747|Chester|new_jersey
36|40.9246118024|-75.0678192704|Columbia|new_jersey
18|39.4222877611|-75.0252070745|Millville|new_jersey
32|39.4648774189|-74.4487239144|Brigantine|new_jersey
53|40.7431701011|-73.5854990411|Eisenhower Park|new_york
56|40.8489429172|-73.9305900411|IS 143|new_york
42|43.6859131906|-74.9856172278|Nicks Lake|new_york
60|40.7144504732|-73.9951734293|Division Street|new_york
134|42.9213297721|-78.7658261694|Buffalo Near Road|new_york
50|43.4495835551|-74.5162417146|Piseco Lake|new_york
62|40.7362862565|-73.8215619408|Queens College|new_york
63|41.1821098642|-74.0281679209|Rockland County|new_york
61|40.5802646017|-74.198299653|Fresh Kills West|new_york
80|40.63306|-74.137156|Port Richmond|new_york
25|41.7855191222|-73.7413190206|Millbrook|new_york
49|40.5966541321|-74.125254653|Susan Wagner|new_york
24|40.8161463073|-73.9020880798|IS 52|new_york
46|40.7452282374|-73.4192472237|Babylon|new_york
21|42.9932869117|-78.7715750386|Amherst|new_york
44|43.0523629002|-76.0592105913|East Syracuse|new_york
45|42.0911590174|-77.2098745423|Pinnacle|new_york
28|43.145785801|-77.5405982378|Rochester|new_york
40|44.3658835886|-73.9029404248|Whiteface Summit|new_york
3|43.2842818347|-76.4627931015|Fulton|new_york
1|42.6422684022|-73.7546783651|Albany County HD|new_york
5|42.6807823531|-73.7574190363|Loudonville|new_york
8|40.815414878|-73.8854659202|IS 74|new_york
6|40.6944959018|-73.927573676|PS 274|new_york
13|40.72698|-73.8931304692|Maspeth|new_york
75|40.7299989253|-73.9844593059|PS 19|new_york
73|40.8197231969|-73.9482483059|CCNY|new_york
106|43.145000436|-77.5576065702|Rochester Near Rd|new_york
39|44.393127688|-73.8589460206|Whiteface Base|new_york
79|42.9981419554|-78.8993178162|Tonawanda II|new_york
10|40.6418094081|-73.8855380411|PS 314|new_york
77|42.9883081234|-78.9184766324|Grand Island Blvd|new_york
19|42.8769629342|-78.8097499794|Buffalo|new_york
35|43.0118600689|-73.6491744474|Stillwater|new_york
30|44.0875118803|-75.9732264482|Perch River|new_york
33|41.4559298723|-73.7097469794|Mt. Ninham|new_york
15|43.0988825189|-75.2249920629|Utica|new_york
36|40.8280013888|-73.0575396877|Suffolk County|new_york
38|41.4991921972|-74.0088929794|Newburgh|new_york
34|41.0519012633|-73.7636410206|White Plains|new_york
57|40.867940554|-73.8781261237|NYBG|new_york
18|42.4996416111|-79.3187812505|Dunkirk|new_york
1|36.7971322152|-108.474045631|1H San Juan Substation|new_mexico
4|36.7420161292|-107.977495333|1ZB Bloomfield|new_mexico
81|36.8097540925|-107.651590999|1NL Navajo Lake|new_mexico
26|36.38333|-105.58333|3ZD Taos Fire Station|new_mexico
103|36.1877374158|-106.698391678|3CRD Coyote Ranger District|new_mexico
97|35.6198112353|-106.079555543|3SFA Santa Fe Airport|new_mexico
108|35.3289041201|-106.47674494|Placitas PM|new_mexico
8|35.2994644198|-106.548402508|2ZJ Bernalillo|new_mexico
93|34.8147852529|-106.739661423|2LL Los Lunas|new_mexico
38|32.7267517534|-103.122876046|5ZS Hobbs Jefferson|new_mexico
35|32.3799330018|-104.261681081|5ZR Carlsbad|new_mexico
